ID_פריט,name,pgrp
468,אתרוג מהודר א משנת יוסף (מספר סידורי 2),27
469,אתרוג מהודר (מספר סידורי 3),27
474,פרכיות אורז - אריזת ג'מבו,2
483,זוג ראשי דג קרפיון,11
485,לחם פרוס - דגנית עין בר,1
486,לולב דרי מהודר אא משנת יוסף (מספר סידורי 1),25
487,אתרוג מהודר אא משנת יוסף (מספר סידורי 1),27
488,הדסים מהודרים אא משנת יוסף (מספר סידורי 1) {מיון כ,26
489,"אתרוג כשר לברכה (מספר סידורי 4) ",27
490,שומשום בוואקום אריזה מוגדלת,2
491,לולב דרי סגור קורה שוקולד (בסימון מיוחד),25
504,דלעת קטנה,1
505,אתרוג עם פיטם מהודר אא משנת יוסף (מס סידורי 5),27
519,"כפית ח""פ 100 יח' - קייטי (לבן)",2
520,תפוח עץ אדום,1
521,פרי השקד,2
522,שניצל צמחי (סויה) - קייטי (ריבוע כתום),11
524,זיתים,2
525,דגני בוקר קרמים נוגט xl אריזה מוגדלת,2
527,רביעיית שוקולד מריר כרמית {סדרה חדשה},8
528,קרקר - בשקית,2
532,טיטולים פרימיום מידה 4+  חוגלה,2
535,קרטונית נרות מילוי - 6 שעות,27
537,זוג כריות שינה איכותיות,23
538,"תפוח עץ זהוב - חו""ל",15
544,עוגת בוקר רוגעל'ה שוקולד - שפיצר,1
546,קרטון קמח כוסמין 80% (10 יח בקרטון חום) {ישבר},2
547,קרטון בצבע לבן/כחול קמח לבן מנופה (10 יח'),2
549,עוגיות ממולאות תות ברמן,2
559,מאגדת חטיף דמוי ביסלי {באגסי},2
562,אפונה בשימורים - פרי מבורך,2
568,עוגיות מיני שוקולד צ'יפס - אסם,2
569,חמישיית טישו,2
585,סבון כלים פיירי - 1.5 ליטר,2
586,אורז פרסי איכותי בוואקום,2
591,"תבנית ענק 7 יח r99 ",2
596,ביסלי גדול אסם,2
597,יין גן עדן מתוק - תווית חום כהה,2
601,סוכר עשירייה,2
603,מארז פרכיות אורז מיני (8 יח' במארז),2
606,ג'ל כביסה פרסיל - 3.8 ליטר,2
607,שקית גרגירי חומוס מוקפאים,11
608,קרטון בצבע כתום/חום קמח כוסמין 80 - שטיבל,2
610,קמח מלא 80% {ישבר} - קרטון (10 יח' בקרטון חום),2
648,סכין ויקטורינוקס משונן - סיומת עגולה,21
657,משלוח איסוף,0
660,עוגיות קוקוס - פרנקלס {קייטי} (כחול),2
662,עוגיות לקפה - ברמן,2
663,חיוב עבור החזקת התחנה ערבי חגים ה,0
665,בייגלה שמיניות מלח - מאיר בייגל,2
667,איגלו 70 יחי - מיוחד לקייץ!,2
668,קרטונית שקיות שתיה 30 יח' (פופלי בומבה),2
671,קרטון קמח כוסמין 80 - בר ולחם {קרטון חום},2
680,קרטון ביסקוויט פתיבר 1.6 קילו קייטי,2
681,מאגדת מיני מוו שוקולד (עם קצפת),8
684,רביעיית מעדני סימפלי פרוט 0% שומן מולר,8
688,"מאגדת יוגורט במתיקות מעודנת 1.2% ",8
696,מכשיר חשמלי פאואר קיטשן (פיצה מייקר)- לימו,21
699,גבינת שמנת 25% - הכפרייה,8
703,פופקורן בוואקום - מיה,2
706,נייר אפייה 50 יח',2
708,אבקת כביסה אריאל 7 קג,2
711,ריצ' בסיס להכנת קצפת צמחית,8
715,קורנפלקס 750 גרם  - קייטי,2
719,רסק/רוטב עגבניות 22 (4 קופסאות) - פרי מבורך,2
720,דובשניות ברמן (בשקית),2
736,שישיית גרביונים בצבע לבן 70 דנייר מידה 8-10,6
